isec_bins,bin_count,bin_P,bin_names,max_count
0.025,146285,0.0627716234586549,"Waiters",26146
0.05,158000,0.067798588416225,"Sales Assistants (General)",101821
0.075,101224,0.0434357235053415,"Child Carers",26451
0.1,101672,0.0436279625408508,"Receptionists",32513
0.125,84850,0.0364095583994727,"Storepersons",15654
0.15,176958,0.075933560816192,"General Clerks",44719
0.175,135482,0.058136002251943,"Accounting Clerks",23646
0.2,167678,0.0719514665092137,"Retail Managers",38367
0.225,150507,0.064583304726334,"Primary School Teachers",33585
0.25,134693,0.0577974384148518,"Registered Nurses",41612
0.275,221467,0.0950325948150386,"Accountants",56112
0.3,101364,0.0434957982039382,"Software and Applications Programmers",35436
0.325,89934,0.0385911281685112,"Human Resource Professionals",18466
0.35,76139,0.0326716248317908,"Construction Managers",25254
0.375,31413,0.0134794750501195,"Civil Engineering Professionals",11449
0.4,38114,0.0163549075879494,"Call or Contact Centre and Customer Service Managers",11408
0.425,28113,0.0120634285831983,"Production Managers",9625
0.45,66165,0.0283917316617691,"Advertising, Public Relations and Sales Managers",50219
0.475,32974,0.0141493079394722,"Other Specialist Managers",15291
0.5,69673,0.0298970319666053,"Chief Executives and Managing Directors",24187
0.525,25819,0.0110790617361931,"Human Resource Managers",16585
0.55,23135,0.00992734394309725,"Finance Managers",20784
0.575,39259,0.016846232801472,"ICT Managers",28349
0.6,0,0,"none",0
0.625,5421,0.00232617815066048,"Research and Development Managers",5022
0.65,6175,0.00264972331310246,"Specialist Physicians",3215
0.675,4761,0.00204296885727625,"Engineering Managers",4761
0.7,0,0,"none",0
0.725,0,0,"none",0
0.75,5607,0.00240599167879603,"Other Medical Practitioners",4309
0.775,0,0,"none",0
0.8,0,0,"none",0
0.825,0,0,"none",0
0.85,0,0,"none",0
0.875,1599,0.000686138878971796,"Anaesthetists",1599
0.9,0,0,"none",0
0.925,0,0,"none",0
0.95,0,0,"none",0
0.975,0,0,"none",0
1,0,0,"none",0
