OCCP_4dig,tele_work
1111,1
1112,0.5
1113,1
1211,0
1212,0
1213,0
1214,0
1311,1
1321,1
1322,1
1323,1
1324,1
1325,1
1331,0
1332,1
1333,1
1334,0
1335,0.333333333333333
1336,1
1341,0
1342,1
1343,1
1344,1
1351,1
1391,0.666666666666667
1392,0
1399,1
1411,0
1412,1
1413,0
1414,0
1419,0.333333333333333
1421,1
1491,0
1492,1
1493,1
1494,1
1499,0.666666666666667
2111,0
2112,0
2113,0
2114,0
2121,0.5
2122,1
2123,0.888888888888889
2124,1
2211,1
2212,1
2221,1
2222,1
2223,1
2231,1
2232,1
2233,1
2241,1
2242,1
2243,1
2244,0.5
2245,1
2246,1
2247,1
2249,1
2251,1
2252,1
2253,1
2254,1
2311,0
2312,0.166666666666667
2321,1
2322,1
2323,1
2324,1
2325,1
2326,1
2331,0.5
2332,1
2333,1
2334,1
2335,0.333333333333333
2336,0
2339,0.857142857142857
2341,1
2342,0
2343,0.8
2344,0.666666666666667
2345,1
2346,1
2347,0
2349,0.5
2411,1
2412,1
2413,1
2414,1
2415,1
2421,1
2422,1
2491,1
2492,1
2493,1
2511,0
2512,0
2513,0
2514,0
2515,0
2519,0
2521,0
2522,0
2523,0
2524,0
2525,0
2526,0
2527,0.5
2531,0
2532,0
2533,0
2534,0
2535,0
2539,0
2541,0
2542,0
2543,0
2544,0
2611,1
2612,1
2613,1
2621,1
2631,1
2632,1
2633,1
2711,1
2712,1
2713,1
2721,1
2722,1
2723,1
2724,1
2725,1
2726,1
3111,0
3112,0
3113,0
3114,0
3121,0.714285714285714
3122,1
3123,0.5
3124,0.5
3125,0.5
3126,0
3129,0
3131,0.75
3132,0
3211,0
3212,0
3221,0
3222,0
3223,0
3231,0
3232,0
3233,0.166666666666667
3234,0
3241,0
3242,0
3243,0
3311,0
3312,0
3321,0
3322,0
3331,0
3332,0
3333,0
3334,0
3341,0
3411,0
3421,0
3422,0
3423,0.2
3424,0
3511,0
3512,0
3513,0
3514,0
3611,0
3612,0
3613,0
3621,1
3622,0
3623,0
3624,0
3911,1
3921,0
3922,1
3923,0
3931,0
3932,0
3933,0
3941,0
3942,0
3991,0
3992,0
3993,0
3994,0
3995,0.5
3996,1
3999,0.222222222222222
4111,0
4112,0
4113,0
4114,0
4115,0
4116,0
4117,0.166666666666667
4211,0
4221,1
4231,1
4232,0
4233,0
4234,0.666666666666667
4311,0
4312,0
4313,0
4314,0
4315,0
4319,0
4411,0
4412,0
4413,0
4421,0
4422,0.25
4511,1
4512,0
4513,0
4514,0
4515,0.333333333333333
4516,1
4517,1
4518,0.428571428571429
4521,0
4522,0
4523,0.272727272727273
4524,0
5111,1
5121,1
5122,1
5211,1
5212,1
5311,1
5321,1
5411,1
5412,1
5421,0.25
5511,1
5512,1
5513,1
5521,0
5522,1
5523,0.75
5611,1
5612,0
5613,1
5614,0
5615,1
5616,1
5619,0.5
5911,0
5912,0.5
5991,1
5992,1
5993,0
5994,1
5995,0
5996,1
5997,1
5999,1
6111,1
6112,1
6113,1
6121,1
6211,0
6212,0
6213,0
6214,0
6215,0
6216,0
6217,0
6219,0
6311,0
6391,0.5
6392,1
6393,1
6394,1
6395,1
6399,1
7111,0
7112,0
7113,0
7114,0
7115,0
7116,0
7117,0
7119,0.2
7121,0
7122,0
7123,0
7129,0.181818181818182
7211,0
7212,0
7213,1
7219,0
7311,0
7312,0
7313,0
7321,0
7331,0
7411,0
8111,0
8112,0
8113,0
8114,0
8115,0
8116,0
8211,0
8212,0
8213,0
8214,0
8215,0
8216,0
8217,0
8219,0
8311,0
8312,0
8313,0
8321,0
8322,0
8391,0
8392,0
8393,0
8394,0
8399,0
8411,0
8412,0
8413,0
8414,0
8415,0
8416,0
8419,0
8511,0
8512,0
8513,0
8911,0
8912,0
8991,0
8992,0
8993,0
8994,0
8995,0
8996,0
8997,0
8999,0
